n_guided,n_free,feeders_1,feeders_2,feeders_3,drop_1,drop_2,drop_3,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,is_guided_9,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,releasetime_1,releasetime_2,releasetime_3,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
3,1,2,8,NaN,0,3,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,8,NaN,NaN,NaN,NaN,NaN,3,3,3,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,2
3,6,4,6,NaN,0,3,NaN,1,1,1,0,0,0,0,0,0,6,6,6,6,4,6,6,6,6,3,3,3,3,0,3,3,3,3,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
0,1,2,7,8,2,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,NaN,1,0,NaN,1,1,1,0,0,0,0,0,0,6,6,6,4,6,6,4,6,4,0,0,0,1,0,0,1,0,1,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
0,1,2,7,8,0,3,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,NaN,1,2,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,4,6,4,6,1,1,1,2,2,1,2,1,2,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
0,1,2,3,8,1,5,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,7,2,1,0,1,1,1,0,0,0,0,0,0,4,4,4,6,6,4,4,4,4,2,2,2,1,1,2,2,2,2,90,90,90,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
0,1,2,7,8,1,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,3,4,6,5,1,0,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,6,4,0,0,0,1,1,1,1,0,1,90,90,90,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
0,1,2,7,8,5,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,7,3,5,1,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,4,5,5,5,5,5,5,5,5,3,90,90,90,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,1,2,8,NaN,3,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,2,NaN,NaN,NaN,NaN,NaN,0,0,0,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,2
3,6,4,6,NaN,1,3,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,4,6,1,1,1,3,3,3,3,1,3,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
3,1,2,8,NaN,1,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,2,NaN,NaN,NaN,NaN,NaN,0,0,0,1,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,2
3,6,4,6,7,3,1,1,1,1,1,0,0,0,0,0,0,4,4,4,4,6,6,4,4,4,3,3,3,3,1,1,3,3,3,90,90,90,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
0,1,2,3,8,1,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,NaN,1,2,NaN,1,1,1,0,0,0,0,0,0,4,4,4,4,6,4,4,4,4,1,1,1,1,2,1,1,1,1,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
0,1,2,3,8,0,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,6,4,6,NaN,5,2,NaN,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,1
3,1,2,8,NaN,1,2,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,2,NaN,NaN,NaN,NaN,NaN,2,2,2,1,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,2
3,6,3,4,6,1,0,2,1,1,1,0,0,0,0,0,0,6,6,6,4,6,6,4,6,4,2,2,2,0,2,2,0,2,0,90,90,90,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
3,1,2,3,8,1,1,2,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,8,NaN,NaN,NaN,NaN,NaN,1,1,1,2,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200512,134522,0,51220,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051220,461,20200512,134522,12-May-2020 13:45:22,ee_3lights,0
0,1,4,6,7,0,5,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,8,NaN,1,2,NaN,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,2
3,1,4,6,NaN,3,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,4,4,NaN,NaN,NaN,NaN,NaN,3,3,3,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,1
3,6,2,3,8,2,5,1,1,1,1,0,0,0,0,0,0,8,8,8,2,8,8,8,8,8,1,1,1,2,1,1,1,1,1,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,4,6,7,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,8,NaN,5,2,NaN,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,2
3,6,2,7,8,5,5,2,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,5,5,5,2,2,2,2,2,2,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,3,4,6,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,3,8,0,0,1,1,1,1,0,0,0,0,0,0,8,8,8,2,2,8,2,8,2,1,1,1,0,0,1,0,1,0,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,3,4,6,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,8,NaN,3,2,NaN,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,3,3,3,2,2,2,2,2,2,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,2
3,1,4,6,NaN,3,5,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,4,6,NaN,NaN,NaN,NaN,NaN,3,3,3,5,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,1
3,6,2,7,8,3,1,5,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,3,4,6,3,3,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,7,8,1,0,3,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,1,1,1,3,3,3,3,3,3,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,4,6,7,2,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,3,8,0,0,2,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
0,1,3,4,6,5,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,6,2,7,8,5,1,2,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,0
3,1,4,6,NaN,2,1,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,6,6,NaN,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200513,114418,0,51320,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051320,295,20200513,114418,13-May-2020 11:44:18,ee_3lights,1
3,1,4,6,NaN,2,1,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,6,4,NaN,NaN,NaN,NaN,NaN,1,1,1,2,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,1
3,6,2,3,8,1,1,0,1,1,1,0,0,0,0,0,0,2,2,2,8,2,2,8,2,8,1,1,1,0,1,1,0,1,0,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
0,1,4,6,7,0,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,3,8,2,3,1,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,2,2,8,1,1,1,2,2,2,2,2,1,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,1,4,6,NaN,0,2,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,4,6,NaN,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,1
3,6,2,8,NaN,3,5,NaN,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,2
3,1,4,6,NaN,5,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,6,4,NaN,NaN,NaN,NaN,NaN,0,0,0,5,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,1
3,6,2,7,8,5,5,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
0,1,4,6,7,1,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,8,NaN,1,2,NaN,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,2,8,8,2,2,2,2,2,2,1,2,2,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,2
0,1,4,6,7,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,8,NaN,2,3,NaN,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,2
0,1,3,4,6,0,3,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,3,8,5,2,3,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
0,1,4,6,7,3,5,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,7,8,1,2,2,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,1,1,1,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,1,4,6,NaN,1,3,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,4,6,NaN,NaN,NaN,NaN,NaN,1,1,1,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,1
3,6,2,7,8,1,3,5,1,1,1,0,0,0,0,0,0,2,2,2,8,2,2,2,8,8,1,1,1,5,1,1,1,5,5,90,90,90,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
0,1,3,4,6,5,3,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,6,2,8,NaN,5,2,NaN,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,2
0,1,3,4,6,5,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200514,122812,0,51420,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051420,293,20200514,122812,14-May-2020 12:28:12,ee_3lights,0
3,1,2,8,NaN,0,3,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,8,NaN,NaN,NaN,NaN,NaN,0,0,0,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,2
3,6,4,6,NaN,5,2,NaN,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,2,2,2,5,5,5,5,5,5,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,1
